,DateHome,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
299,2012-01-30,Philadelphia 76ers,Orlando Magic,179.5,5.5,-325,265,143,5
300,2012-01-30,Miami Heat,New Orleans Pelicans,186.5,13,-1300,900,204,14
301,2012-01-30,Milwaukee Bucks,Detroit Pistons,180,7.5,-340,280,185,21
302,2012-01-30,Memphis Grizzlies,San Antonio Spurs,191,4.5,-250,210,156,-10
303,2012-01-30,Houston Rockets,Minnesota Timberwolves,196,6.5,-280,240,228,-12
304,2012-01-30,Utah Jazz,Portland Trail Blazers,189,3,110,-130,182,4
305,2012-01-30,Phoenix Suns,Dallas Mavericks,184,3,180,-220,221,-23
306,2012-01-30,Los Angeles Clippers,Oklahoma City Thunder,196,2.5,115,-135,212,12
307,2012-01-31,Indiana Pacers,New Jersey Nets,190,9.5,-550,425,205,7
308,2012-01-31,Cleveland Cavaliers,Boston Celtics,178,1.5,170,-200,183,-3
309,2012-01-31,Toronto Raptors,Atlanta Hawks,176.5,5,200,-240,177,-23
310,2012-01-31,New York Knicks,Detroit Pistons,182.5,9,-525,425,199,27
311,2012-01-31,Memphis Grizzlies,Denver Nuggets,201,1.5,105,-125,197,3
312,2012-01-31,Golden State Warriors,Sacramento Kings,199,8,-320,260,183,3
313,2012-01-31,Los Angeles Lakers,Charlotte Bobcats,184,13.5,-1700,1100,179,33
314,2012-02-01,Orlando Magic,Washington Wizards,182.5,9.5,-670,470,212,6
315,2012-02-01,Philadelphia 76ers,Chicago Bulls,181.5,1.5,100,-120,180,16
316,2012-02-01,Boston Celtics,Toronto Raptors,174,9,-480,380,164,36
317,2012-02-01,New Jersey Nets,Detroit Pistons,185.5,6.5,-255,205,195,3
318,2012-02-01,Minnesota Timberwolves,Indiana Pacers,194.5,2,-160,140,208,-10
